X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SE_ANNO_CAD_DATA
-8563365.00937692,4706551.62883235,13077377,5200 block of Cloud Pl NE,2013/06/07 04:00:00+00,1957,2013/06/07 04:00:00+00,2013,6,6D,Ward 7,Race,White,Threats,807563,406418.29910791,136281.5760599,38.89435783,-76.92601445,,,MPD,2024/02/16 21:02:52+00,7418,
-8572256.10361873,4697886.24886451,13080496,3800 block of 1st St SE,2013/06/13 04:00:00+00,1825-1830,2013/06/13 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,811521,399489.08239748,129550.72997365,38.83374686,-77.00588449,,,MPD,2024/02/16 21:02:52+00,7419,
-8573738.74763608,4707533.37060215,13081164,500 block of Massachusetts Ave NW,2013/06/14 04:00:00+00,2123-2124,2013/06/14 04:00:00+00,2013,6,1D,Ward 2,Sexual Orientation,,Simple Assault,806791,398334.26,137041.07,38.90122147,-77.0192033,,,MPD,2024/02/16 21:02:52+00,7420,
-8569622.57361694,4702531.75964585,13081519,16th St SE and Good Hope Rd SE,2013/06/15 04:00:00+00,1248,2013/06/15 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,901851,401542.41999938,133158.590009,38.86624683,-76.98222709,,,MPD,2024/02/16 21:02:52+00,7421,
-8569894.73676603,4708142.88855701,13084477,1500 block of Tinidad Ave NE,2013/06/20 04:00:00+00,1841-1855,2013/06/20 04:00:00+00,2013,6,5D,Ward 5,Race,White,Threats,800035,401329.51,137514.01,38.90548246,-76.98467197,,,MPD,2024/02/16 21:02:52+00,7422,
-8575158.07062968,4709427.52863007,13086807,1800 block of 14th St NW,2013/06/24 04:00:00+00,2100,2013/06/24 04:00:00+00,2013,6,3D,Ward 2,Gender Identity/Expression,,Simple Assault,810471,397228.81,138511.21,38.91446221,-77.03195329,,,MPD,2024/02/16 21:02:52+00,7423,
-8562001.43798158,4706828.21325305,13088119,500 block of Eastern Ave NE,2013/06/27 04:00:00+00,0535-0536,2013/06/27 04:00:00+00,2013,6,6D,Ward 7,Gender Identity/Expression,,ADW,804552,407480.72,136497.17,38.89629157,-76.91376529,,,MPD,2024/02/16 21:02:52+00,7424,
-8568703.62481776,4702143.98954248,13093081,2300 block of Good Hope Rd SE,2013/07/03 04:00:00+00,2030-2040,2013/07/03 04:00:00+00,2013,7,7D,Ward 8,Sexual Orientation,,ADW,815940,402258.92,132857.68,38.86353456,-76.97397204,,,MPD,2024/02/16 21:02:52+00,7425,
-8573484.2196042,4707719.11913025,13095740,400 block of K St NW,2013/07/07 04:00:00+00,1810-1200,2013/07/08 04:00:00+00,2013,7,1D,Ward 6,Race,Black,Threats,816529,398532.62,137185.18,38.90252002,-77.01691684,,,MPD,2024/02/16 21:02:52+00,7426,
-8574942.6558815,4707334.01356743,13095260,1300 block of H St NW,2013/07/09 04:00:00+00,1345,2013/07/09 04:00:00+00,2013,7,2D,Ward 2,Race,Multiple,Threats,803708,397396.1,136886.61,38.89982776,-77.03001819,,,MPD,2024/02/16 21:02:52+00,7427,
