ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_LATITUDE,MAR_LONGITUDE,YEAR,DAY_OF_WEEK,MONTH_NAME
200 block of K St NW,2012-06-05 04:00:00+00:00,0312-0345,2012/06/05 04:00:00+00,2012,6,1D,Ward 6,Race,Unspecified,Simple Assault,38.90251693,-77.01444995,2012,Tuesday,June
1600 block of R St NW,2012-06-08 04:00:00+00:00,0220-0223,2012/06/08 04:00:00+00,2012,6,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91260899,-77.03749919,2012,Friday,June
4th St NW and Pennsylvania Ave NW,2012-06-13 04:00:00+00:00,1937-1938,2012/06/13 04:00:00+00,2012,6,1D,Ward 2/Ward 6,Race,Unspecified,Threats,38.89210938,-77.01756466,2012,Wednesday,June
Irving St NW and Mount Pleasant St NW,2012-06-22 04:00:00+00:00,0430,2012/06/22 04:00:00+00,2012,6,4D,Ward 1,Sexual Orientation,,Robbery,38.92873331,-77.0373506,2012,Friday,June
1400 block of 14th St NW,2012-06-23 04:00:00+00:00,2220-2225,2012/06/23 04:00:00+00,2012,6,3D,Ward 2,Sexual Orientation,,Simple Assault,38.9092426,-77.03195176,2012,Saturday,June
600 block of T St NW,2012-06-26 04:00:00+00:00,2040-2100,2012/06/27 04:00:00+00,2012,6,1D,Ward 1/Ward 2,Sexual Orientation,,ADW,38.91563546,-77.02073961,2012,Tuesday,June
1900 block of Minnesota Ave Ave SE,2012-06-30 04:00:00+00:00,0837-0840,2012/07/03 04:00:00+00,2012,7,6D,Ward 8,Gender Identity/Expression,,Simple Assault,38.87045091,-76.97677939,2012,Saturday,June
600 block of Florida Ave NW,2012-07-01 04:00:00+00:00,0300-0330,2012/07/01 04:00:00+00,2012,7,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91559392,-77.02031712,2012,Sunday,July
2200 block of 18th St NW,2012-07-01 04:00:00+00:00,2250,2012/07/01 04:00:00+00,2012,7,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91920176,-77.04168137,2012,Sunday,July
New Hampshire Ave NW and S St NW,2012-07-01 04:00:00+00:00,1900-1903,2012/07/01 04:00:00+00,2012,7,2D,Ward 2,Ethnicity/National Origin,Asian,Simple Assault,38.91409156,-77.03927495,2012,Sunday,July
14th St NW and Rhode Island Ave NW,2012-07-17 04:00:00+00:00,1330,2012/07/17 04:00:00+00,2012,7,3D,Ward 2,Disability,,Simple Assault,38.90883777,-77.03194927,2012,Tuesday,July
7th St NW and K St NW,2012-08-04 04:00:00+00:00,0400,2012/08/04 04:00:00+00,2012,8,1D,Ward 6,Sexual Orientation,,Robbery,38.90210135,-77.02191502,2012,Saturday,August
E St SE and Benning Rd SE,2012-08-06 04:00:00+00:00,1500,2012/08/06 04:00:00+00,2012,8,6D,Ward 7,Sexual Orientation,,Robbery,38.88373305,-76.93483215,2012,Monday,August
1000 block of 4th St NW,2012-08-10 04:00:00+00:00,0045,2012/08/10 04:00:00+00,2012,8,Unk,Ward 6,Gender Identity/Expression,,Simple Assault,38.90312729,-77.01617419,2012,Friday,August
700 block of 6th St NW,2012-08-11 04:00:00+00:00,1746,2012/08/11 04:00:00+00,2012,8,1D,Ward 2,Religion,Jewish,Threats,38.89906025,-77.01990581,2012,Saturday,August
800 block of G St NW,2012-08-15 04:00:00+00:00,1050,2012/08/15 04:00:00+00,2012,8,1D,Ward 2,Political Affiliation,,ADW,38.89845279,-77.02344899,2012,Wednesday,August
1100 block of 1st St NE,2012-08-18 04:00:00+00:00,1745,2012/08/18 04:00:00+00,2012,8,5D,Ward 6,Sexual Orientation,,Threats,38.90420989,-77.00588572,2012,Saturday,August
1800 block of Minnesota Ave SE,2012-08-19 04:00:00+00:00,2130-2135,2012/08/19 04:00:00+00,2012,8,6D,Ward 8,Gender Identity/Expression,,ADW,38.86981921,-76.97804785,2012,Sunday,August
3300 block of Martin Luther King Jr Ave,2012-08-23 04:00:00+00:00,0241,2012/08/23 04:00:00+00,2012,8,7D,Ward 8,Sexual Orientation,,Simple Assault,38.84223924,-77.00276867,2012,Thursday,August
4200 block of Gault Pl NE,2012-08-23 04:00:00+00:00,1200-1800,2012/04/04 04:00:00+00,2012,4,6D,Ward 7,Sexual Orientation,,Threats,38.89906331,-76.94089418,2012,Thursday,August
600 block of Rhode Island Ave NW,2012-08-23 04:00:00+00:00,1656,2012/08/23 04:00:00+00,2012,8,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91284239,-77.02046173,2012,Thursday,August
4700 block of South Capitol St SE,2012-08-25 04:00:00+00:00,2353,2012/08/25 04:00:00+00,2012,8,7D,Ward 8,Sexual Orientation,,ADW,38.8216297,-77.00174414,2012,Saturday,August
1300 block of 23rd St NW,2012-08-29 04:00:00+00:00,0010-0031,2012/08/29 04:00:00+00,2012,8,2D,Ward 2,Sexual Orientation,,Robbery,38.90793411,-77.04980538,2012,Wednesday,August
1900 block of Minnesota Ave SE,2012-08-31 04:00:00+00:00,2353,2012/08/31 04:00:00+00,2012,8,6D,Ward 8,Sexual Orientation,,Robbery,38.87045091,-76.97677939,2012,Friday,August
3100 block of 14th St NW,2012-09-02 04:00:00+00:00,1411,2012/09/02 04:00:00+00,2012,9,3D,Ward 1,Religion,Other/Unknown Religion,Robbery,38.92951689,-77.03272986,2012,Sunday,September
2200 block of 14th St NW,2012-09-11 04:00:00+00:00,0207,2012/09/11 04:00:00+00,2012,9,3D,Ward 1,Sexual Orientation,,Simple Assault,38.91962462,-77.03195261,2012,Tuesday,September
900 block of R St NW,2012-09-18 04:00:00+00:00,1802,2012/09/18 04:00:00+00,2012,9,3D,Ward 2,Sexual Orientation,,ADW,38.91260657,-77.02497875,2012,Tuesday,September
3500 block of Warder St NW,2012-10-05 04:00:00+00:00,0800-1947,2012/10/05 04:00:00+00,2012,10,4D,Ward 1,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.93290481,-77.02051408,2012,Friday,October
1800 block of M St NW,2012-10-12 04:00:00+00:00,1800-0820,2012/10/12 04:00:00+00,2012,10,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,38.90565389,-77.04256765,2012,Friday,October
600 block of Division Ave NE,2012-10-20 04:00:00+00:00,2258,2012/10/20 04:00:00+00,2012,10,6D,Ward 7,Gender Identity/Expression,,Simple Assault,38.89775988,-76.92588561,2012,Saturday,October
1800 block of K St NW,2012-10-25 04:00:00+00:00,1800-1151 ,2012/10/26 04:00:00+00,2012,10,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,38.90252502,-77.04257432,2012,Thursday,October
1400 block of Meridian Pl ,2012-10-27 04:00:00+00:00,0412,2012/10/27 04:00:00+00,2012,10,4D,Ward 1,Race,Unspecified,Robbery,38.93357694,-77.0342657,2012,Saturday,October
2700 block of Martin Luther King Jr Ave SE,2012-10-30 04:00:00+00:00,1230,2012/10/30 04:00:00+00,2012,10,7D,Ward 8,Sexual Orientation,,Simple Assault,38.8506799,-76.99591886,2012,Tuesday,October
600 block of Edgewood St NE,2012-11-05 05:00:00+00:00,1954,2012/11/05 05:00:00+00,2012,11,5D,Ward 5,Sexual Orientation,,Simple Assault,38.92423879,-76.99790392,2012,Monday,November
1400 block of K St NW,2012-11-19 05:00:00+00:00,1452,2012/11/19 05:00:00+00,2012,11,2D,Ward 2,Race,Black,Simple Assault,38.90252277,-77.03279345,2012,Monday,November
Montello Ave NE and Oates St NE,2012-11-23 05:00:00+00:00,1000,2012/11/23 05:00:00+00,2012,11,5D,Ward 5,Sexual Orientation,,Robbery,38.90546954,-76.98827677,2012,Friday,November
1900 block of 4th ST NW,2012-12-07 05:00:00+00:00,1900,2012/12/08 05:00:00+00,2012,12,3D,Ward 1,Race,Black,Damage/Defacing/Destruction of Property,38.91632965,-77.01739784,2012,Friday,December
1300 block of Missouri Ave NW,2012-12-12 05:00:00+00:00,1746,2012/12/12 05:00:00+00,2012,12,4D,Ward 4,Sexual Orientation,,Robbery,38.96167228,-77.03084775,2012,Wednesday,December
3800 block of Legation St NW,2013-01-02 05:00:00+00:00,1324,2013/01/02 05:00:00+00,2013,1,2D,Ward 3,Religion,Jewish,Damage/Defacing/Destruction of Property,38.96207282,-77.0755369,2013,Wednesday,January
5300 block of Nebraska Ave NW,2013-01-02 05:00:00+00:00,1600-0915,2013/01/03 05:00:00+00,2013,1,2D,Ward 3,Religion,Jewish,Damage/Defacing/Destruction of Property,38.95918677,-77.06771608,2013,Wednesday,January
5000 block of G St SE,2013-01-05 05:00:00+00:00,1952,2013/01/05 05:00:00+00,2013,1,6D,Ward 7,Gender Identity/Expression,,ADW,38.8806213,-76.93079603,2013,Saturday,January
3100 block of 14th St NW,2013-01-12 05:00:00+00:00,1500,2013/01/12 05:00:00+00,2013,1,3D,Ward 1,Sexual Orientation,,Simple Assault,38.92951689,-77.03272986,2013,Saturday,January
1600 block of R St NW,2017-11-19 05:00:00+00:00,0318,2017/11/19 05:00:00+00,2017,11,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91260899,-77.03749919,2017,Sunday,November
900 block of U St NW,2017-11-20 05:00:00+00:00,0051,2017/11/20 05:00:00+00,2017,11,3D,Ward 1,Sexual Orientation,,ADW,38.91699641,-77.02463447,2017,Monday,November
200 block of K St NW,2017-11-21 05:00:00+00:00,0940,2017/11/21 05:00:00+00,2017,11,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90251693,-77.01444995,2017,Tuesday,November
500 block of H St NW,2017-11-23 05:00:00+00:00,1500,2017/11/30 05:00:00+00,2017,11,1D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.89981073,-77.01942057,2017,Thursday,November
1400 block of 26th St NW,2017-11-23 05:00:00+00:00,0830,2017/11/24 05:00:00+00,2017,11,2D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90897164,-77.05475578,2017,Thursday,November
2300 block of 40th Pl NW,2017-11-23 05:00:00+00:00,2230,2017/11/24 05:00:00+00,2017,11,2D,Ward 3,Race,Black,Damage/Defacing/Destruction of Property,38.92129992,-77.07976157,2017,Thursday,November
1500 block of 9th St NW,2017-11-24 05:00:00+00:00,1947,2017/11/24 05:00:00+00,2017,11,3D,Ward 2,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,38.9103856,-77.02396922,2017,Friday,November
500 block of I St NW,2017-11-26 05:00:00+00:00,1348,2017/11/26 05:00:00+00,2017,11,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90132282,-77.01920333,2017,Sunday,November
400 block of Massachusetts Ave NW,2017-11-26 05:00:00+00:00,0855,2017/11/26 05:00:00+00,2017,11,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90052346,-77.0171897,2017,Sunday,November
900 block of 7th St NW,2017-11-27 05:00:00+00:00,1041,2017/11/27 05:00:00+00,2017,11,1D,Ward 2,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.90148566,-77.02191601,2017,Monday,November
900 block of Massachusetts Ave NW,2017-11-29 05:00:00+00:00,1731,2017/11/29 05:00:00+00,2017,11,2D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.90323987,-77.02501835,2017,Wednesday,November
900 block of Rhode Island Ave NE,2017-12-02 05:00:00+00:00,1254,2017/12/02 05:00:00+00,2017,12,5D,Ward 5,Ethnicity/National Origin,Unspecified,Simple Assault,38.9222166,-76.9931402,2017,Saturday,December
100 block of 46th Pl NE,2017-12-02 05:00:00+00:00,0544,2017/12/02 05:00:00+00,2017,12,6D,Ward 7,Sexual Orientation,,Simple Assault,38.89105188,-76.93584641,2017,Saturday,December
1700 block of North Capitol St NE,2017-12-06 05:00:00+00:00,2340,2017/12/07 05:00:00+00,2017,12,5D,Ward 5,Race,Black,ADW,38.91297193,-77.00904874,2017,Wednesday,December
300 block of Pennsylvania Ave SE,2017-12-07 05:00:00+00:00,1950,2017/12/07 05:00:00+00,2017,12,1D,Ward 6,Race,Black,Simple Assault,38.88676949,-77.00130957,2017,Thursday,December
400 block of 2nd St NW,2017-12-12 05:00:00+00:00,1912,2017/12/12 05:00:00+00,2017,12,1D,Ward 6,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,38.89543686,-77.01478638,2017,Tuesday,December
3000 block of 14th ST NW,2017-12-14 05:00:00+00:00,2316,2017/12/13 05:00:00+00,2017,12,3D,Ward 1,Sexual Orientation,,ADW,38.9281718,-77.03259028,2017,Thursday,December
1200 block of 34th St NW,2017-12-17 05:00:00+00:00,0940,2017/12/17 05:00:00+00,2017,12,2D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,38.90549872,-77.06784266,2017,Sunday,December
1600 block of Kalmia RD NW,2017-12-23 05:00:00+00:00,1600,2017/12/23 05:00:00+00,2017,12,4D,Ward 4,Race,Black,Threats,38.98590846,-77.03768113,2017,Saturday,December
200 block of 13th ST NE,2017-12-23 05:00:00+00:00,1300,2017/12/23 05:00:00+00,2017,12,1D,Ward 6,Race,Black,Damage/Defacing/Destruction of Property,38.89278685,-76.98831021,2017,Saturday,December
1100 block of Pennsylvania Ave SE,2017-12-27 05:00:00+00:00,2140,2017/12/27 05:00:00+00,2017,12,1D,Ward 6,Ethnicity/National Origin,Arab/Middle Eastern,ADW,38.88251996,-76.99088681,2017,Wednesday,December
2000 block of 38th ST SE,2017-12-30 05:00:00+00:00,1610,2017/12/30 05:00:00+00,2017,12,6D,Ward 7,Race,Black,Damage/Defacing/Destruction of Property,38.86477408,-76.95221468,2017,Saturday,December
1300 block of Southern Ave SE,2017-12-31 05:00:00+00:00,1400,2018/01/13 05:00:00+00,2018,1,7D,Ward 8,Gender Identity/Expression,,Sexual Abuse,38.83694492,-76.98113695,2017,Sunday,December
1400 block of Staples St NE,2018-01-17 05:00:00+00:00,1903,2018/01/17 05:00:00+00,2018,1,5D,Ward 5,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,38.90406893,-76.98378386,2018,Wednesday,January
300 block of Livingston Ter SE,2018-01-18 05:00:00+00:00,1838,2018/01/18 05:00:00+00,2018,1,7D,Ward 8,Gender Identity/Expression,,Simple Assault,38.8266053,-77.00126789,2018,Thursday,January
3100 block of 14th St NW,2018-01-19 05:00:00+00:00,0446,2018/01/19 05:00:00+00,2018,1,3D,Ward 1,Sexual Orientation,,Simple Assault,38.92951689,-77.03272986,2018,Friday,January
1100 block of Rhode Island Ave NW,2018-01-19 05:00:00+00:00,1202,2018/01/19 05:00:00+00,2018,1,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.91036264,-77.02756077,2018,Friday,January
700 block of 11th St NW,2018-01-20 05:00:00+00:00,0258,2018/01/20 05:00:00+00,2018,1,2D,Ward 2,Sexual Orientation,,Simple Assault,38.8990662,-77.02703499,2018,Saturday,January
1500 block of Isherwood St NE,2018-01-28 05:00:00+00:00,2004,2018/01/28 05:00:00+00,2018,1,5D,Ward 7,Sexual Orientation,,ADW,38.89546312,-76.9829276,2018,Sunday,January
2600 block of Connecticut Ave NW,2018-01-29 05:00:00+00:00,1632,2018/01/29 05:00:00+00,2018,1,2D,Ward 3,Race,White,Simple Assault,38.92419981,-77.05190312,2018,Monday,January
3200 block of Stanton Rd SE,2018-01-31 05:00:00+00:00,1816,2018/02/01 05:00:00+00,2018,2,7D,Ward 8,Race,White,ADW,38.84955835,-76.98098789,2018,Wednesday,January
3700 block of Minnesota Ave NE,2018-02-02 05:00:00+00:00,1330,2018/02/02 05:00:00+00,2018,2,6D,Ward 7,Gender Identity/Expression,,ADW,38.89132947,-76.9519659,2018,Friday,February
1800 block of New York Ave NE,2018-02-03 05:00:00+00:00,0203,2018/02/03 05:00:00+00,2018,2,5D,Ward 5,Sexual Orientation,,ADW,38.91728642,-76.97511255,2018,Saturday,February
1400 block of Okie St NE,2018-02-14 05:00:00+00:00,0710,2018/02/14 05:00:00+00,2018,2,5D,Ward 5,Sexual Orientation,,Threats,38.91475717,-76.98392764,2018,Wednesday,February
2800 block of 12th St NE,2018-02-17 05:00:00+00:00,2323,2018/02/18 05:00:00+00,2018,2,5D,Ward 5,Ethnicity/National Origin,Asian,Simple Assault,38.92602369,-76.99048,2018,Saturday,February
900 block of Massachusetts Ave NW,2018-02-20 05:00:00+00:00,1245,2018/02/18 05:00:00+00,2018,2,3D,Ward 2,Gender Identity/Expression,,Simple Assault,38.90323987,-77.02501835,2018,Tuesday,February
1200 block of 5th St NE,2018-02-22 05:00:00+00:00,1240,2018/02/22 05:00:00+00,2018,2,5D,Ward 6,Sexual Orientation,,ADW,38.90617864,-76.99950171,2018,Thursday,February
4200 block of Massachusetts Ave NW,2018-03-01 05:00:00+00:00,0100,2018/03/10 05:00:00+00,2018,3,2D,Ward 3,Sexual Orientation,,Threats,38.93583885,-77.0830611,2018,Thursday,March
2400 block of M St NW,2018-03-02 05:00:00+00:00,2100,2018/03/07 05:00:00+00,2018,3,2D,Ward 2,Religion,Jewish,Theft,38.90525787,-77.052352,2018,Friday,March
1700 block of U St NW,2018-03-04 05:00:00+00:00,1553,2018/03/04 05:00:00+00,2018,3,3D,Ward 2,Sexual Orientation,,Simple Assault,38.91700401,-77.03984817,2018,Sunday,March
200 block of K St NE,2018-03-04 05:00:00+00:00,0352,2018/03/04 05:00:00+00,2018,3,5D,Ward 6,Gender Identity/Expression,,Simple Assault,38.90251482,-77.00280318,2018,Sunday,March
2200 block of New York Ave NE,2018-03-04 05:00:00+00:00,0345,2018/03/04 05:00:00+00,2018,3,5D,Ward 5,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,38.91728642,-76.97511255,2018,Sunday,March
400 block of M St SE,2018-03-06 05:00:00+00:00,1230,2018/03/07 05:00:00+00,2018,3,1D,Ward 8,Gender Identity/Expression,,Threats,38.87647991,-77.00004965,2018,Tuesday,March
1800 block of N St NW,2018-03-16 04:00:00+00:00,0100,2018/03/16 04:00:00+00,2018,3,2D,Ward 2,Political Affiliation,,ADW,38.90724754,-77.041875,2018,Friday,March
200 block of 13th St NE,2018-03-16 04:00:00+00:00,0001,2018/03/16 04:00:00+00,2018,3,1D,Ward 6,Race,Black,Damage/Defacing/Destruction of Property,38.89278685,-76.98831021,2018,Friday,March
1100 block of 4th ST SW,2018-03-20 04:00:00+00:00,1309,2018/03/20 04:00:00+00,2018,3,1D,Ward 6,Race,Black,Threats,38.87786661,-77.01763474,2018,Tuesday,March
1800 block of Adams Mill Rd NW,2018-03-24 04:00:00+00:00,1449,2018/03/24 04:00:00+00,2018,3,3D,Ward 1,Race,White,Simple Assault,38.92300898,-77.04285247,2018,Saturday,March
600 block of 7th St NW,2018-03-27 04:00:00+00:00,1806,2018/03/27 04:00:00+00,2018,3,1D,Ward 2,Sexual Orientation,,Simple Assault,38.89786097,-77.02191674,2018,Tuesday,March
900 block of L'Enfant Plaza SW,2018-03-27 04:00:00+00:00,1853,2018/03/27 04:00:00+00,2018,3,1D,Ward 6,Race,White,Simple Assault,38.88388287,-77.02456921,2018,Tuesday,March
700 block of 8th St NW,2018-04-03 04:00:00+00:00,0701,2018/04/03 04:00:00+00,2018,4,1D,Ward 2,Race,Black,Theft,38.89913473,-77.02294002,2018,Tuesday,April
500 block of Penn St NE,2018-04-04 04:00:00+00:00,1540,2018/04/04 04:00:00+00,2018,4,5D,Ward 5,Ethnicity/National Origin,Latino/Hispanic,Sexual Abuse,38.91038929,-76.99754448,2018,Wednesday,April
1000 block of New York Ave NW,2018-04-05 04:00:00+00:00,1746,2018/04/05 04:00:00+00,2018,4,2D,Ward 2,Race,White,Simple Assault,38.90136694,-77.02626472,2018,Thursday,April
900 block of Florida Ave NW,2018-04-10 04:00:00+00:00,0305,2018/04/10 04:00:00+00,2018,4,3D,Ward 1,Race,White,Simple Assault,38.91806867,-77.02420669,2018,Tuesday,April
1200 block of 28th ST NW,2018-04-14 04:00:00+00:00,2156,2018/04/14 04:00:00+00,2018,4,2D,Ward 2,Religion,Muslim,Damage/Defacing/Destruction of Property,38.90565935,-77.05703519,2018,Saturday,April
3700 block of Georgia Ave NW,2018-04-15 04:00:00+00:00,1512,2018/04/15 04:00:00+00,2018,4,4D,Ward 4,Sexual Orientation,,Simple Assault,38.93696915,-77.02439858,2018,Sunday,April
2000 block of 10th St NW,2018-04-15 04:00:00+00:00,0031,2018/04/15 04:00:00+00,2018,4,3D,Ward 1,Sexual Orientation,,ADW,38.91755382,-77.02599106,2018,Sunday,April
1200 block of G St NW,2018-04-17 04:00:00+00:00,2038,2018/04/17 04:00:00+00,2018,4,2D,Ward 2,Ethnicity/National Origin,Black/African,Robbery,38.89831393,-77.02884908,2018,Tuesday,April
2500 block of Georgia Ave NW,2018-04-20 04:00:00+00:00,1118,2018/04/20 04:00:00+00,2018,4,3D,Ward 1,Race,Black,Damage/Defacing/Destruction of Property,38.92326116,-77.02239275,2018,Friday,April
1800 block of M St NW,2018-04-21 04:00:00+00:00,1432,2018/04/21 04:00:00+00,2018,4,2D,Ward 2,Race,White,Threats,38.90565389,-77.04256765,2018,Saturday,April
4000 block of 4th ST SE,2018-04-22 04:00:00+00:00,2111,2018/04/22 04:00:00+00,2018,4,7D,Ward 8,Sexual Orientation,,Threats,38.83052062,-77.0005715,2018,Sunday,April
Unit block of 15th St SW,2018-04-30 04:00:00+00:00,1639,2018/04/30 04:00:00+00,2018,4,2D,Ward 2,Race,Black,Threats,38.88916612,-77.03290638,2018,Monday,April
1400 block of New York Ave NW,2018-05-04 04:00:00+00:00,1630,2018/05/16 04:00:00+00,2018,5,2D,Ward 2,Race,Black,Threats,38.8990995,-77.03280663,2018,Friday,May
100 block of Galveston Pl SW,2018-05-11 04:00:00+00:00,2213,2018/05/12 04:00:00+00,2018,5,7D,Ward 8,Gender Identity/Expression,,Simple Assault,38.82438671,-77.00971436,2018,Friday,May
1000 block of Wisconsin Ave NW,2018-05-16 04:00:00+00:00,1130,2018/05/16 04:00:00+00,2018,5,2D,Ward 2,Sexual Orientation,,Threats,38.90300705,-77.06276329,2018,Wednesday,May
1200 block of Half St SE,2018-05-19 04:00:00+00:00,2310,2018/05/20 04:00:00+00,2018,5,1D,Ward 8,Ethnicity/National Origin,Latino/Hispanic,Threats,38.87555885,-77.00746208,2018,Saturday,May
1400 block of Irving St NW,2018-05-19 04:00:00+00:00,2000,2018/05/19 04:00:00+00,2018,5,3D,Ward 1,Sexual Orientation,,Simple Assault,38.92874335,-77.03363933,2018,Saturday,May
1400 block of Perry Pl NW,2018-05-25 04:00:00+00:00,1430,2018/05/26 04:00:00+00,2018,5,4D,Ward 1,Sexual Orientation,,Damage/Defacing/Destruction of Property,38.93648763,-77.03358105,2018,Friday,May
1300 block of 14th St NW,2018-05-27 04:00:00+00:00,1828,2018/05/27 04:00:00+00,2018,5,3D,Ward 2,Sexual Orientation,,Simple Assault,38.90803854,-77.03195018,2018,Sunday,May
1900 block of M St NW,2018-05-27 04:00:00+00:00,0310,2018/05/27 04:00:00+00,2018,5,2D,Ward 2,Race,Black,Simple Assault,38.90565447,-77.04417308,2018,Sunday,May
700 block of I St NE,2018-06-01 04:00:00+00:00,1045,2018/06/01 04:00:00+00,2018,6,1D,Ward 6,Sexual Orientation,,Simple Assault,38.90132674,-76.99556398,2018,Friday,June
900 block of Rhode Island Ave NE,2018-06-01 04:00:00+00:00,1928,2018/06/01 04:00:00+00,2018,6,5D,Ward 5,Ethnicity/National Origin,Latino/Hispanic,Threats,38.9222166,-76.9931402,2018,Friday,June
1100 block of Oates St NE,2018-06-04 04:00:00+00:00,0949,2018/06/04 04:00:00+00,2018,6,5D,Ward 5,Gender Identity/Expression,,Simple Assault,38.90592447,-76.98934072,2018,Monday,June
400 block of Peabody St NW,2018-06-05 04:00:00+00:00,2116,2018/06/05 04:00:00+00,2018,6,4D,Ward 4,Sexual Orientation,,Simple Assault,38.96270112,-77.01896464,2018,Tuesday,June
